lead_id,business_name,category,city,area,address,website,phone,google_maps_url,rating,reviews_count,emails,phones,owner_name,doctor_name,linkedin_url,whatsapp_number,website_title,cms,booking_system,chat_widget,has_booking,has_whatsapp,has_lead_form,has_chat_widget,has_google_ads,has_facebook_pixel,weaknesses,weakness_count,final_score,tier,priority,estimated_revenue_loss,recoverable_amount,recommended_tier,roi_multiple,ai_verdict,outreach_angle,email_subject,whatsapp_msg
bbc478056f9d3cc4,"Dr. Nishant’s Skin, Hair & Laser Clinic",skin,Hyderabad,Hyderabad,"3rd Floor, Paramount building, Dharam Karan Rd, near ratnadeep supermarket, Ameerpet, Hyderabad, Telangana 500016, India",https://drnishantjain.com/,+91 90637 56100,https://www.google.com/maps/search/?api=1&query=Dr.%20Nishant%E2%80%99s%20Skin%2C%20Hair%20%26%20Laser%20Clinic&query_place_id=ChIJccBmq1-RyzsR5XvqrGbRkK8,4.9,154,"[""john@gmail.com"", ""drnishantsclinic@gmail.com""]","[""+91 90637 56100"", ""+91 9876543210""]",,,,,"Best Skin and Hair Clinic in Hyderabad | Dr.Nishant’s Skin, Hair & Laser Clinic",wordpress,,,False,False,True,False,True,False,"[""HIGH_REVIEWS_NO_CONVERSION: High review count but no booking system or WhatsApp \u2014 losing walk-in inquiries"", ""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_WHATSAPP: No WhatsApp integration \u2014 missing instant communication channel"", ""NO_LIVE_CHAT: No live chat widget \u2014 slow response to website visitors"", ""NO_ONLINE_PAYMENT: No payment gateway detected \u2014 missing convenience revenue""]",5,77,HOT,CRITICAL,36750,25725,Starter ₹15K/month,1.7,ACCEPT,Losing ₹37K/month due to 5 gaps. Recover ₹26K with Starter ₹15K/month.,"Quick question about Dr. Nishant’s Skin, Hair & Laser Clinic","Hi! Quick note about Dr. Nishant’s Skin, Hair & Laser Clinic.

Based on your 154 Google reviews, you're likely missing ₹37K/month in ₹37K/month revenue loss suggests inefficiencies or missed opportunities..

We can recover ₹26K/month with Solutions to address the clinic's specific weaknesses and improve their overall score..

ROI: 1.7x

Want a free audit? Reply YES"
413d90f5443ac4c8,Dr Madhavi's Advanced Skin Hair and Laser Clinic,skin,Hyderabad,Hyderabad,"Bahloolguda, first Floor, Sravya D estates, near, Prashant Colony Rd, opp. to nature cure hospital, Prashanth Colony, Balkampet, Hyderabad, Telangana 500016, India",http://www.madhavisskinclinic.in/,+91 77998 61371,https://www.google.com/maps/search/?api=1&query=Dr%20Madhavi's%20Advanced%20Skin%20Hair%20and%20Laser%20Clinic&query_place_id=ChIJ416zxMCQyzsR9UfG_8PZLDE,4.5,1824,"[""madhavisskinclinic@gmail.com""]","[""+91 77998 61371"", ""+91 9642659757""]",,Dr. Madhavi Logo,https://linkedin.com/in/dr-madhavi-pudi-0b533a55,,Best Dermatology clinic in Hyderabad – We are committed to your Skin Care,wordpress,,,False,True,False,False,False,False,"[""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_LIVE_CHAT: No live chat widget \u2014 slow response to website visitors"", ""NO_LEAD_FORM: No contact/enquiry form detected \u2014 website visitors have no way to reach out"", ""HIGH_TRAFFIC_NO_FOLLOWUP: High-volume business with no follow-up automation"", ""NO_ANALYTICS: No tracking/analytics detected \u2014 flying blind on website performance"", ""NO_ONLINE_PAYMENT: No payment gateway detected \u2014 missing convenience revenue""]",6,76,HOT,CRITICAL,47250,33075,Starter ₹15K/month,2.2,REVIEW,Losing ₹47K/month due to 6 gaps. Recover ₹33K with Starter ₹15K/month.,Quick question about Dr Madhavi's Advanced Skin Hair and Laser Clinic,"Hi! Quick note about Dr Madhavi's Advanced Skin Hair and Laser Clinic.

Based on your 1824 Google reviews, you're likely missing ₹47K/month in ₹47K monthly revenue loss indicates potential issues with client retention or acquisition..

We can recover ₹33K/month with Offer CRM or marketing automation tools to improve client communication and retention for Dr. Madhavi's clinic..

ROI: 2.2x

Want a free audit? Reply YES"
a0039c6b4c7b47cf,Anceita Skin And Hair Clinic,skin,Hyderabad,Hyderabad,"Flat No.301, 3rd Floor, In Park View Edifice, Road No. 1, Nandagiri Hills, Jubilee Hills, Hyderabad, Telangana 500033, India",https://anceitaclinic.com/,+91 79979 90414,https://www.google.com/maps/search/?api=1&query=Anceita%20Skin%20And%20Hair%20Clinic&query_place_id=ChIJv_ZfM2aRyzsRvC9-mhMPhmE,4.9,632,"[""info@ancetacare.com""]","[""+91 79979 90414"", ""+917997990414""]",,,,+917997990414,"Anceita Skin & Hair Clinic In Jubilee Hills - Best Dermatologist For Laser, Acne, Scar, Hair Loss Treatments",wordpress,,,False,True,True,False,True,False,"[""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_LIVE_CHAT: No live chat widget \u2014 slow response to website visitors"", ""HIGH_TRAFFIC_NO_FOLLOWUP: High-volume business with no follow-up automation"", ""NO_ONLINE_PAYMENT: No payment gateway detected \u2014 missing convenience revenue""]",4,76,HOT,CRITICAL,39375,27562,Starter ₹15K/month,1.8,ACCEPT,Losing ₹39K/month due to 4 gaps. Recover ₹28K with Starter ₹15K/month.,Quick question about Anceita Skin And Hair Clinic,"Hi! Quick note about Anceita Skin And Hair Clinic.

Based on your 632 Google reviews, you're likely missing ₹39K/month in Lost revenue indicates inefficiencies in the sales process or missed opportunities..

We can recover ₹28K/month with Implement a CRM to better manage leads and customer interactions, potentially recovering lost revenue for Anceita..

ROI: 1.8x

Want a free audit? Reply YES"
8e6c70ed6723f010,Kaya Clinic - Banjara Hills,skin,Hyderabad,Hyderabad,"Le Benaka, Muncipal No 6/3, opposite GIVA Silver & Gold Jewellery, Banjara Hills, Hyderabad, Telangana 500034, India",https://www.kaya.in/dermatologist-near-me/skin-and-hair-clinic-in-hyderabad/kaya-clinic-banjara-hills?utm_source=google&utm_medium=local&utm_campaign=gmb_locator,+91 86575 69378,https://www.google.com/maps/search/?api=1&query=Kaya%20Clinic%20-%20Banjara%20Hills&query_place_id=ChIJLWK8wjiXyzsR619TQ8DdHEk,4.6,1061,"[""kayahydba@kayaclinic.com""]","[""+91 86575 69378"", ""8657569378"", ""1772627813"", ""9898989898"", ""1028657186"", ""8123456789""]",,,https://linkedin.com/company/kaya-clinic-india,,"Best Dermatologist in Banjara Hills, Hyderabad | Skin, Hair & CoolSculpting Treatments",,,,False,True,True,False,True,True,"[""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_LIVE_CHAT: No live chat widget \u2014 slow response to website visitors"", ""HIGH_TRAFFIC_NO_FOLLOWUP: High-volume business with no follow-up automation"", ""OUTDATED_WEBSITE: Website appears outdated or using basic platform""]",4,76,HOT,CRITICAL,39375,27562,Starter ₹15K/month,1.8,REVIEW,Losing ₹39K/month due to 4 gaps. Recover ₹28K with Starter ₹15K/month.,Quick question about Kaya Clinic - Banjara Hills,"Hi! Quick note about Kaya Clinic - Banjara Hills.

Based on your 1061 Google reviews, you're likely missing ₹39K/month in ₹39K/month revenue loss indicates potential issues with client retention or acquisition..

We can recover ₹28K/month with Offer CRM or marketing automation solutions to improve client engagement and reduce churn for Kaya Clinic - Banjara Hills..

ROI: 1.8x

Want a free audit? Reply YES"
952ecddfbb39d316,Dermiq Skin & Hair Clinic | Jubilee Hills,skin,Hyderabad,Hyderabad,"Plot no-72, S.no 12, 3rd Floor, Journalist Colony, Jubilee Hills, Hyderabad, Telangana 500033, India",https://www.dermiqclinic.com/,+91 91212 19123,https://www.google.com/maps/search/?api=1&query=Dermiq%20Skin%20%26%20Hair%20Clinic%20%7C%20Jubilee%20Hills&query_place_id=ChIJ4WDQC_mXyzsRB32gmNRiiDc,4.9,685,"[""info@dermiqclinic.com""]","[""+91 91212 19123"", ""9121219123""]",,,,,Dermiq Clinic: Best Skin and Hair Clinic in Hyderabad,godaddy,,,False,True,True,False,False,False,"[""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_LIVE_CHAT: No live chat widget \u2014 slow response to website visitors"", ""HIGH_TRAFFIC_NO_FOLLOWUP: High-volume business with no follow-up automation"", ""OUTDATED_WEBSITE: Website appears outdated or using basic platform"", ""NO_ANALYTICS: No tracking/analytics detected \u2014 flying blind on website performance"", ""NO_ONLINE_PAYMENT: No payment gateway detected \u2014 missing convenience revenue""]",6,72,HOT,HIGH,39375,27562,Starter ₹15K/month,1.8,REVIEW,Losing ₹39K/month due to 6 gaps. Recover ₹28K with Starter ₹15K/month.,Quick question about Dermiq Skin & Hair Clinic | Jubilee Hills,"Hi! Quick note about Dermiq Skin & Hair Clinic | Jubilee Hills.

Based on your 685 Google reviews, you're likely missing ₹39K/month in ₹39K/month revenue loss indicates potential inefficiencies in operations or customer retention..

We can recover ₹28K/month with Offer solutions to improve operational efficiency and reduce revenue leakage at Dermiq Skin & Hair Clinic..

ROI: 1.8x

Want a free audit? Reply YES"
2ff2fdb1c58ef0ac,Sikara Skin & Hair Care Clinic – Banjara Hills,skin,Hyderabad,Hyderabad,"1st Floor, H No: 8, 2-120-77/1&3, Road No. 2, opp. to KBR Park, Banjara Hills, Hyderabad, Telangana 500034, India",https://sikaraclinics.com/,+91 81219 68111,https://www.google.com/maps/search/?api=1&query=Sikara%20Skin%20%26%20Hair%20Care%20Clinic%20%E2%80%93%20Banjara%20Hills&query_place_id=ChIJrYD0i9eXyzsRcqNLmc18FfI,5.0,398,"[""flags@2x.png"", ""contact@sikaraclinics.com""]","[""+91 81219 68111"", ""+919432321111"", ""+91 8121968111"", ""+91 83744 68111"", ""+919948009929""]",,,,+8121968111,"Skin, Hair & Bridal Care Clinics | Advanced Aesthetic dermatology Treatments",wordpress,,,False,True,True,False,False,True,"[""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_LIVE_CHAT: No live chat widget \u2014 slow response to website visitors"", ""HIGH_TRAFFIC_NO_FOLLOWUP: High-volume business with no follow-up automation"", ""NO_ONLINE_PAYMENT: No payment gateway detected \u2014 missing convenience revenue""]",4,69,HOT,HIGH,31499,22049,Starter ₹15K/month,1.5,REVIEW,Losing ₹31K/month due to 4 gaps. Recover ₹22K with Starter ₹15K/month.,Quick question about Sikara Skin & Hair Care Clinic – Banjara Hills,"Hi! Quick note about Sikara Skin & Hair Care Clinic – Banjara Hills.

Based on your 398 Google reviews, you're likely missing ₹31K/month in ₹31K/month revenue loss indicates inefficiencies or missed opportunities..

We can recover ₹22K/month with Offer solutions to address the specific weaknesses identified in the clinic's operations to reduce revenue loss..

ROI: 1.5x

Want a free audit? Reply YES"
67763f05e66ebdf7,Dr. Neti's Skin Hair And Nail Clinic in AMEERPET,skin,Hyderabad,Hyderabad,"Shop No.4, 8-3-945, New Science College Ln, Nagarjuna Nagar colony, Ameerpet, Hyderabad, Telangana 500073, India",https://drnetisclinic.com/,+91 97045 87802,https://www.google.com/maps/search/?api=1&query=Dr.%20Neti's%20Skin%20Hair%20And%20Nail%20Clinic%20in%20AMEERPET&query_place_id=ChIJ6Qg5t86QyzsRHSYHWvT7YZU,4.8,194,[],"[""+91 97045 87802"", ""3025194257"", ""1812271804"", ""1623242578"", ""9298062325"", ""3834928952""]",,,,,Modernizing Clinics with Smarter Health IT | .Software,godaddy,,,False,False,False,False,False,False,"[""HIGH_REVIEWS_NO_CONVERSION: High review count but no booking system or WhatsApp \u2014 losing walk-in inquiries"", ""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_WHATSAPP: No WhatsApp integration \u2014 missing instant communication channel"", ""NO_LIVE_CHAT: No live chat widget \u2014 slow response to website visitors"", ""NO_LEAD_FORM: No contact/enquiry form detected \u2014 website visitors have no way to reach out"", ""OUTDATED_WEBSITE: Website appears outdated or using basic platform"", ""NO_ANALYTICS: No tracking/analytics detected \u2014 flying blind on website performance"", ""NO_ONLINE_PAYMENT: No payment gateway detected \u2014 missing convenience revenue""]",8,66,HOT,CRITICAL,42000,29399,Starter ₹15K/month,2.0,ACCEPT,Losing ₹42K/month due to 8 gaps. Recover ₹29K with Starter ₹15K/month.,Quick question about Dr. Neti's Skin Hair And Nail Clinic in AMEERPET,"Hi! Quick note about Dr. Neti's Skin Hair And Nail Clinic in AMEERPET.

Based on your 194 Google reviews, you're likely missing ₹42K/month in ₹42K/month revenue loss suggests inefficiencies in current sales or marketing strategies..

We can recover ₹29K/month with Offer solutions to address the identified weaknesses and improve the clinic's overall score..

ROI: 2.0x

Want a free audit? Reply YES"
d4d63b6726123ca7,FMS Skin & Hair Clinic - Jubilee Hills,skin,Hyderabad,Hyderabad,"Door No.8-2-293/82/A/725/A, Beside FMS INTERNATIONAL DENTAL CENTER Road No.37, Hitech City Rd, near Daspalla, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033, India",https://www.fmsskin.com/,+91 88850 60760,https://www.google.com/maps/search/?api=1&query=FMS%20Skin%20%26%20Hair%20Clinic%20-%20Jubilee%20Hills&query_place_id=ChIJE-jiIWeRyzsRjKuDliKV1Ck,4.6,271,"[""contact@fmsskin.com""]","[""+91 88850 60760"", ""+910806922211"", ""+917799922301"", ""+918885060760""]",,,,,FMS SKIN: Best Skin Clinic in Hyderabad India with Top Dermatologists,wordpress,,tawk,False,True,False,True,False,True,"[""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_LEAD_FORM: No contact/enquiry form detected \u2014 website visitors have no way to reach out"", ""ADS_WEAK_FUNNEL: Running paid ads but no booking/form to capture traffic \u2014 ad spend wasted"", ""NO_ONLINE_PAYMENT: No payment gateway detected \u2014 missing convenience revenue""]",4,63,WARM,HIGH,25200,17640,Starter ₹15K/month,1.2,REVIEW,Losing ₹25K/month due to 4 gaps. Recover ₹18K with Starter ₹15K/month.,Quick question about FMS Skin & Hair Clinic - Jubilee Hills,"Hi! Quick note about FMS Skin & Hair Clinic - Jubilee Hills.

Based on your 271 Google reviews, you're likely missing ₹25K/month in ₹25K/month revenue loss indicates potential operational inefficiencies..

We can recover ₹18K/month with Highlight how your B2B solution can help FMS Skin & Hair Clinic recover the ₹18K/month in lost revenue..

ROI: 1.2x

Want a free audit? Reply YES"
06b8086c92b274e5,"Skinvy Skin, Hair & Aesthetic Clinic | Best Dermatologist in Hyderabad, KPHB | Lady Skin Specialist | Hair Loss Treatments",skin,Hyderabad,Hyderabad,"2nd floor, Road No:1, Rd Number 1, Kukatpally Housing Board Colony, KPHB Phase 2, Kukatpally, Hyderabad, Telangana 500072, India",https://skinvy.in/,+91 85228 25959,https://www.google.com/maps/search/?api=1&query=Skinvy%20Skin%2C%20Hair%20%26%20Aesthetic%20Clinic%20%7C%20Best%20Dermatologist%20in%20Hyderabad%2C%20KPHB%20%7C%20Lady%20Skin%20Specialist%20%7C%20Hair%20Loss%20Treatments&query_place_id=ChIJtTbGIgCRyzsRUeDrLBECNc8,5.0,416,"[""info@skinvy.in""]","[""+91 85228 25959"", ""+919777917779""]",,,,,Best Dermatologist in Hyderabad | Skinvy - Expert Skin and Hair Care,wordpress,,,False,True,True,False,False,False,"[""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_LIVE_CHAT: No live chat widget \u2014 slow response to website visitors"", ""HIGH_TRAFFIC_NO_FOLLOWUP: High-volume business with no follow-up automation""]",3,63,WARM,MEDIUM,31499,22049,Starter ₹15K/month,1.5,ACCEPT,Losing ₹31K/month due to 3 gaps. Recover ₹22K with Starter ₹15K/month.,"Quick question about Skinvy Skin, Hair & Aesthetic Clinic | Best Dermatologist in Hyderabad, KPHB | Lady Skin Specialist | Hair Loss Treatments","Hi! Quick note about Skinvy Skin, Hair & Aesthetic Clinic | Best Dermatologist in Hyderabad, KPHB | Lady Skin Specialist | Hair Loss Treatments.

Based on your 416 Google reviews, you're likely missing ₹31K/month in ₹31K/month revenue loss indicates inefficiencies in current sales or marketing strategies..

We can recover ₹22K/month with Offer Skinvy Skin, Hair & Aesthetic Clinic solutions to address their specific weaknesses and recover the ₹22K/month in lost revenue..

ROI: 1.5x

Want a free audit? Reply YES"
c82d69be3c5962e2,Essthetiks Skin and Hair Care,skin,Hyderabad,Hyderabad,"789/A, 3rd floor, Road No. 36, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033, India",https://www.essthetiks.com/?utm_source=maps&utm_medium=maps&utm_campaign=gbp,+91 70200 45540,https://www.google.com/maps/search/?api=1&query=Essthetiks%20Skin%20and%20Hair%20Care&query_place_id=ChIJNflPtVSRyzsR8tkdjfJD9sQ,4.9,167,[],"[""+91 70200 45540"", ""7032645540"", ""1766871380"", ""1772627757"", ""7020045540"", ""1750536758""]",,,,,,wordpress,,,False,False,True,False,False,False,"[""HIGH_REVIEWS_NO_CONVERSION: High review count but no booking system or WhatsApp \u2014 losing walk-in inquiries"", ""NO_BOOKING_SYSTEM: No online booking detected \u2014 after-hours leads are lost"", ""NO_WHATSAPP: No WhatsApp integration \u2014 missing instant communication channel"", ""NO_LIVE_CHAT: No live chat widget \u2014 slow response to website visitors"", ""NO_ANALYTICS: No tracking/analytics detected \u2014 flying blind on website performance""]",5,58,WARM,HIGH,36750,25725,Starter ₹15K/month,1.7,REVIEW,Losing ₹37K/month due to 5 gaps. Recover ₹26K with Starter ₹15K/month.,Quick question about Essthetiks Skin and Hair Care,"Hi! Quick note about Essthetiks Skin and Hair Care.

Based on your 167 Google reviews, you're likely missing ₹37K/month in ₹37K monthly revenue loss indicates potential inefficiencies in operations or marketing..

We can recover ₹26K/month with Offer Essthetiks Skin and Hair Care targeted marketing solutions to recapture the ₹26K in recoverable monthly revenue..

ROI: 1.7x

Want a free audit? Reply YES"
