business_name,category,city,area,google_maps_url,website,phone,emails,has_booking_system,has_whatsapp,has_lead_form,has_click_to_call,has_chat_widget,has_slow_response_risk,has_after_hours_leak,rating,reviews_count,ads_detected,screenshots,phones,booking_links,social_links,leak_score,leak_categories,estimated_monthly_leads,estimated_missed_pct,estimated_revenue_loss_inr,recoverable_amount_inr,recommended_tier,roi_multiple,priority,email_subject,email_body,whatsapp_msg,call_script,loom_script
Bangalore Polyclinic,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Bangalore+Polyclinic,,+91 80 2244 2795,[],False,False,False,,,True,True,,,False,[],,,,34,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,COLD,,,,,
Shree Polyclinic & Lab - Bannerghatta Main Road | Best General Physician & OPD Clinic,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Shree+Polyclinic+&+Lab+-+Bannerghatta+Main+Road+|+Best+General+Physician+&+OPD+Clinic,https://shreepolycliniclab.com/,+91 96865 85122,"['info@shreepolycliniclab.com', 'shreepolycliniclab@gmail.com']",True,True,True,False,True,True,True,,,False,[],"['9185500019', '2208299999', '7551699999']",[],{},59,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,WARM,Recovering ₹210k/month for Shree Polyclinic & Lab - Bannerghatta Main Road | Best General Physician & OPD Clinic,"Hi,

I came across Shree Polyclinic & Lab - Bannerghatta Main Road | Best General Physician & OPD Clinic and noticed you're likely losing ₹300k/month in missed appointments and slow follow-ups.

Based on your Google reviews and category, here's what I found:
• 250 leads/month
• ~40% missed due to slow response
• ₹300k/month revenue loss

We can recover ₹210k/month with:
✅ WhatsApp assistant (instant response)
✅ Missed call capture
✅ Automated follow-ups

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Takes 2 days, shows exact ₹ being lost.

Reply ""YES"" and I'll send details.

Best,
[Your Name]
","Hi! I noticed Shree Polyclinic & Lab - Bannerghatta Main Road | Best General Physician & OPD Clinic might be losing ₹210k/month in missed appointments. 

We can recover this with WhatsApp automation + missed call capture.

Cost: Elite ₹1.2L/month
ROI: 1.8x

Want a free audit? Reply YES","Hi, this is [Name]. I'm calling about Shree Polyclinic & Lab - Bannerghatta Main Road | Best General Physician & OPD Clinic.

I noticed you're getting good reviews but might be losing ₹210k/month in missed appointments due to slow response times.

We've helped similar Mixed businesses recover this revenue with WhatsApp automation.

Do you have 2 minutes to discuss?","[60 seconds]

Hi! I'm [Name] and I found Shree Polyclinic & Lab - Bannerghatta Main Road | Best General Physician & OPD Clinic on Google.

You have None reviews which is great, but I noticed you might be losing ₹210k/month.

Here's why:
- 250 leads/month
- ~40% missed due to slow response
- That's ₹300k/month gone

We can recover ₹210k/month with simple WhatsApp automation.

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Email me at [email]"
Shree Polyclinic & Lab - HSR | Best General Physician & OPD Clinic,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Shree+Polyclinic+&+Lab+-+HSR+|+Best+General+Physician+&+OPD+Clinic,https://shreepolycliniclab.com/,+91 99164 01706,"['info@shreepolycliniclab.com', 'shreepolycliniclab@gmail.com']",True,True,True,False,True,True,True,,,False,[],"['9185500019', '2208299999', '7551699999']",[],{},59,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,WARM,Recovering ₹210k/month for Shree Polyclinic & Lab - HSR | Best General Physician & OPD Clinic,"Hi,

I came across Shree Polyclinic & Lab - HSR | Best General Physician & OPD Clinic and noticed you're likely losing ₹300k/month in missed appointments and slow follow-ups.

Based on your Google reviews and category, here's what I found:
• 250 leads/month
• ~40% missed due to slow response
• ₹300k/month revenue loss

We can recover ₹210k/month with:
✅ WhatsApp assistant (instant response)
✅ Missed call capture
✅ Automated follow-ups

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Takes 2 days, shows exact ₹ being lost.

Reply ""YES"" and I'll send details.

Best,
[Your Name]
","Hi! I noticed Shree Polyclinic & Lab - HSR | Best General Physician & OPD Clinic might be losing ₹210k/month in missed appointments. 

We can recover this with WhatsApp automation + missed call capture.

Cost: Elite ₹1.2L/month
ROI: 1.8x

Want a free audit? Reply YES","Hi, this is [Name]. I'm calling about Shree Polyclinic & Lab - HSR | Best General Physician & OPD Clinic.

I noticed you're getting good reviews but might be losing ₹210k/month in missed appointments due to slow response times.

We've helped similar Mixed businesses recover this revenue with WhatsApp automation.

Do you have 2 minutes to discuss?","[60 seconds]

Hi! I'm [Name] and I found Shree Polyclinic & Lab - HSR | Best General Physician & OPD Clinic on Google.

You have None reviews which is great, but I noticed you might be losing ₹210k/month.

Here's why:
- 250 leads/month
- ~40% missed due to slow response
- That's ₹300k/month gone

We can recover ₹210k/month with simple WhatsApp automation.

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Email me at [email]"
Shree Polyclinic & Lab - Arekere | Best General Physician & OPD Clinic,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Shree+Polyclinic+&+Lab+-+Arekere+|+Best+General+Physician+&+OPD+Clinic,https://shreepolycliniclab.com/,+91 72045 17021,"['info@shreepolycliniclab.com', 'shreepolycliniclab@gmail.com']",True,True,True,False,True,True,True,,,False,[],"['9185500019', '2208299999', '7551699999']",[],{},59,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,WARM,Recovering ₹210k/month for Shree Polyclinic & Lab - Arekere | Best General Physician & OPD Clinic,"Hi,

I came across Shree Polyclinic & Lab - Arekere | Best General Physician & OPD Clinic and noticed you're likely losing ₹300k/month in missed appointments and slow follow-ups.

Based on your Google reviews and category, here's what I found:
• 250 leads/month
• ~40% missed due to slow response
• ₹300k/month revenue loss

We can recover ₹210k/month with:
✅ WhatsApp assistant (instant response)
✅ Missed call capture
✅ Automated follow-ups

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Takes 2 days, shows exact ₹ being lost.

Reply ""YES"" and I'll send details.

Best,
[Your Name]
","Hi! I noticed Shree Polyclinic & Lab - Arekere | Best General Physician & OPD Clinic might be losing ₹210k/month in missed appointments. 

We can recover this with WhatsApp automation + missed call capture.

Cost: Elite ₹1.2L/month
ROI: 1.8x

Want a free audit? Reply YES","Hi, this is [Name]. I'm calling about Shree Polyclinic & Lab - Arekere | Best General Physician & OPD Clinic.

I noticed you're getting good reviews but might be losing ₹210k/month in missed appointments due to slow response times.

We've helped similar Mixed businesses recover this revenue with WhatsApp automation.

Do you have 2 minutes to discuss?","[60 seconds]

Hi! I'm [Name] and I found Shree Polyclinic & Lab - Arekere | Best General Physician & OPD Clinic on Google.

You have None reviews which is great, but I noticed you might be losing ₹210k/month.

Here's why:
- 250 leads/month
- ~40% missed due to slow response
- That's ₹300k/month gone

We can recover ₹210k/month with simple WhatsApp automation.

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Email me at [email]"
Poly Clinic,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Poly+Clinic,,+91 98440 85841,[],False,False,False,,,True,True,,,False,[],,,,34,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,COLD,,,,,
Emertient Poly Clinic,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Emertient+Poly+Clinic,http://www.emertient.in/,+91 80017 01602,[],True,True,True,True,True,True,True,,,False,[],"['7019089967', '+91 8001701602', '+91 7019089967']",[],{},55,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,WARM,Recovering ₹210k/month for Emertient Poly Clinic,"Hi,

I came across Emertient Poly Clinic and noticed you're likely losing ₹300k/month in missed appointments and slow follow-ups.

Based on your Google reviews and category, here's what I found:
• 250 leads/month
• ~40% missed due to slow response
• ₹300k/month revenue loss

We can recover ₹210k/month with:
✅ WhatsApp assistant (instant response)
✅ Missed call capture
✅ Automated follow-ups

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Takes 2 days, shows exact ₹ being lost.

Reply ""YES"" and I'll send details.

Best,
[Your Name]
","Hi! I noticed Emertient Poly Clinic might be losing ₹210k/month in missed appointments. 

We can recover this with WhatsApp automation + missed call capture.

Cost: Elite ₹1.2L/month
ROI: 1.8x

Want a free audit? Reply YES","Hi, this is [Name]. I'm calling about Emertient Poly Clinic.

I noticed you're getting good reviews but might be losing ₹210k/month in missed appointments due to slow response times.

We've helped similar Mixed businesses recover this revenue with WhatsApp automation.

Do you have 2 minutes to discuss?","[60 seconds]

Hi! I'm [Name] and I found Emertient Poly Clinic on Google.

You have None reviews which is great, but I noticed you might be losing ₹210k/month.

Here's why:
- 250 leads/month
- ~40% missed due to slow response
- That's ₹300k/month gone

We can recover ₹210k/month with simple WhatsApp automation.

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Email me at [email]"
Shree Polyclinic & Lab,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Shree+Polyclinic+&+Lab,https://shreepolycliniclab.com/,+91 90369 00400,"['info@shreepolycliniclab.com', 'shreepolycliniclab@gmail.com']",True,True,True,False,True,True,True,,,False,[],"['9185500019', '2208299999', '7551699999']",[],{},59,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,WARM,Recovering ₹210k/month for Shree Polyclinic & Lab,"Hi,

I came across Shree Polyclinic & Lab and noticed you're likely losing ₹300k/month in missed appointments and slow follow-ups.

Based on your Google reviews and category, here's what I found:
• 250 leads/month
• ~40% missed due to slow response
• ₹300k/month revenue loss

We can recover ₹210k/month with:
✅ WhatsApp assistant (instant response)
✅ Missed call capture
✅ Automated follow-ups

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Takes 2 days, shows exact ₹ being lost.

Reply ""YES"" and I'll send details.

Best,
[Your Name]
","Hi! I noticed Shree Polyclinic & Lab might be losing ₹210k/month in missed appointments. 

We can recover this with WhatsApp automation + missed call capture.

Cost: Elite ₹1.2L/month
ROI: 1.8x

Want a free audit? Reply YES","Hi, this is [Name]. I'm calling about Shree Polyclinic & Lab.

I noticed you're getting good reviews but might be losing ₹210k/month in missed appointments due to slow response times.

We've helped similar Mixed businesses recover this revenue with WhatsApp automation.

Do you have 2 minutes to discuss?","[60 seconds]

Hi! I'm [Name] and I found Shree Polyclinic & Lab on Google.

You have None reviews which is great, but I noticed you might be losing ₹210k/month.

Here's why:
- 250 leads/month
- ~40% missed due to slow response
- That's ₹300k/month gone

We can recover ₹210k/month with simple WhatsApp automation.

Cost: Elite ₹1.2L/month
ROI: 1.8x return

Want a free audit? Email me at [email]"
J H Poly Clinic,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/J+H+Poly+Clinic,,,[],False,False,False,,,True,True,,,False,[],,,,31,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,COLD,,,,,
Ganga Polyclinic,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/Ganga+Polyclinic,,+91 98451 94269,[],False,False,False,,,True,True,,,False,[],,,,34,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,COLD,,,,,
People's Poly Clinic yousuff,Mixed,Bangalore,"Bengaluru, Karnataka",https://www.google.com/maps/search/People's+Poly+Clinic+yousuff,,+91 98451 20856,[],False,False,False,,,True,True,,,False,[],,,,34,,250,0.4,300000,210000,Elite ₹1.2L/month,1.8,COLD,,,,,
